"USPS","GEOID","POP00","HU00","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","COUNTY","dcbd","countycode","statecode","tract00"
"TX","48015760100",2073,819,176397499,1171432,68.1075,0.4523,29.642962,-96.090889,"Austin",44.0107982232038,"015","48","760100"
"TX","48015760200",5179,2054,152344681,2499480,58.8206,0.9651,29.779359,-96.126553,"Austin",45.3873332349565,"015","48","760200"
"TX","48015760300",5189,2151,361684827,1572076,139.6473,0.607,29.785297,-96.208955,"Austin",50.3356574749005,"015","48","760300"
"TX","48015760400",3212,1770,498739620,490504,192.5645,0.1894,29.953699,-96.479179,"Austin",67.7768828228448,"015","48","760400"
"TX","48015760500",7937,3411,501042037,4060834,193.4534,1.5679,29.976047,-96.234182,"Austin",53.8713937511952,"015","48","760500"
"TX","48039660100",4869,1676,4275402,0,1.6507,0,29.551545,-95.229739,"Brazoria",16.6774871235345,"039","48","660100"
"TX","48039660200",4494,1766,18073406,0,6.9782,0,29.517733,-95.23165,"Brazoria",18.6811842537206,"039","48","660200"
"TX","48039660300",5701,2173,9869881,74569,3.8108,0.0288,29.545977,-95.263518,"Brazoria",16.1069235189621,"039","48","660300"
"TX","48039660400",4951,1966,11052372,0,4.2673,0,29.568549,-95.275693,"Brazoria",14.3861961039883,"039","48","660400"
"TX","48039660500",7684,2803,24433615,1793,9.4339,0.0007,29.579485,-95.304722,"Brazoria",13.0740036609179,"039","48","660500"
"TX","48039660600",8439,3269,59028318,324676,22.791,0.1254,29.536168,-95.401551,"Brazoria",15.5886145320133,"039","48","660600"
"TX","48039660700",12949,4791,47192417,30335,18.2211,0.0117,29.529933,-95.358569,"Brazoria",15.9153385187813,"039","48","660700"
"TX","48039660800",9395,3406,14432431,0,5.5724,0,29.549547,-95.301862,"Brazoria",15.1054645325418,"039","48","660800"
"TX","48039660900",5780,1978,45108890,0,17.4166,0,29.506067,-95.287509,"Brazoria",18.2292960158158,"039","48","660900"
"TX","48039661000",5677,2002,42440824,0,16.3865,0,29.460575,-95.288186,"Brazoria",21.2614275465234,"039","48","661000"
"TX","48039661100",2189,779,14235505,0,5.4964,0,29.438691,-95.231915,"Brazoria",23.6928728499246,"039","48","661100"
"TX","48039661200",3877,1645,3489621,0,1.3474,0,29.417423,-95.238816,"Brazoria",24.9409973307481,"039","48","661200"
"TX","48039661300",2679,1076,3376910,0,1.3038,0,29.423982,-95.253575,"Brazoria",24.2418981265643,"039","48","661300"
"TX","48039661400",6393,2520,6940691,0,2.6798,0,29.411791,-95.254561,"Brazoria",25.0330511510507,"039","48","661400"
"TX","48039661500",8453,2951,102794360,0,39.6891,0,29.435077,-95.314505,"Brazoria",22.69471306674,"039","48","661500"
"TX","48039661600",8864,3265,57298014,0,22.1229,0,29.377349,-95.232441,"Brazoria",27.6931217927796,"039","48","661600"
"TX","48039661700",2292,1028,464780030,43307044,179.4526,16.7209,29.204895,-95.23024,"Brazoria",39.2521519092593,"039","48","661700"
"TX","48039661800",4378,1523,160027167,727748,61.7868,0.281,29.405159,-95.393172,"Brazoria",24.5581622105047,"039","48","661800"
"TX","48039661900",10629,1505,305652442,2991926,118.0131,1.1552,29.384808,-95.482051,"Brazoria",26.7870754260574,"039","48","661900"
"TX","48039662000",6108,2664,391782269,13892968,151.268,5.3641,29.212826,-95.693596,"Brazoria",42.5191352324195,"039","48","662000"
"TX","48039662100",5019,1969,136218520,9492820,52.5943,3.6652,29.186595,-95.46965,"Brazoria",40.0638319034175,"039","48","662100"
"TX","48039662200",6552,2300,92564037,382312,35.7392,0.1476,29.205596,-95.420539,"Brazoria",38.4202068872669,"039","48","662200"
