,latitude,longitude
153856,29.773101,-95.736056
194226,29.936415000000004,-95.591392
82566,29.68695,-95.193219
23822,29.468967,-95.092603
51455,29.793877,-95.21873
11040,29.594523,-95.526738
159717,29.807329,-95.399302
62728,30.049956,-95.240438
109738,29.727220000000006,-95.415171
206701,30.341934,-95.087297
147124,29.736081,-95.606739
107321,29.729781,-95.445255
42353,29.829312,-95.38097
147091,29.728832,-95.613896
20128,29.559031,-95.791248
179138,29.818511,-95.564096
47353,29.929526,-95.371473
113985,29.705534000000004,-95.47537
136248,29.719758,-95.499473
212609,30.138655,-95.463531
31729,29.236823,-94.882297
174143,29.886143,-95.494576
221048,30.450594,-95.450515
91043,29.609781,-95.221234
170650,29.823575,-95.410448
19360,29.576621000000006,-95.764639
90198,29.666228000000004,-95.289179
196666,29.983665,-95.50605
180623,29.861778,-95.631604
104812,29.752204,-95.455103
47174,29.938275,-95.303362
107990,29.734221999999995,-95.436469
8067,29.014941,-95.413009
120072,29.673195,-95.508722
183254,29.841251,-95.646695
222560,30.314448,-95.670033
174430,29.869809000000004,-95.481004
4895,29.139257,-95.653937
122595,29.783815,-95.534834
5402,29.244389,-95.405939
127274,29.751234000000004,-95.498001
48098,29.826316,-95.293664
183947,29.788908000000006,-95.681799
105782,29.743587,-95.437073
34954,29.758861,-95.364717
10121,29.619324,-95.533406
49359,29.859039000000006,-95.271297
214941,30.098674,-95.393115
131944,29.737792,-95.479593
49534,29.871327,-95.328945
190705,29.979297,-95.513888
47410,29.932086,-95.362401
208720,30.213972,-95.791971
76826,29.698261,-95.382514
182782,29.87913,-95.648211
173786,29.8483,-95.503648
84588,29.657715000000003,-95.413668
17373,29.5901,-95.677262
172804,29.863444,-95.460588
8633,29.016873,-95.202787
2106,29.568858,-95.424025
64702,29.788403,-95.156752
189074,29.978153,-95.492082
180128,29.863496,-95.645117
204378,30.095821,-95.628241
148173,29.727886,-95.567136
147166,29.736241,-95.593931
217949,30.282869,-95.469527
125914,29.749908,-95.481967
14733,29.607724,-95.631336
215802,30.118628,-95.272718
60167,30.003291,-95.153216
10067,29.599759,-95.483419
147151,29.736234000000003,-95.594385
647,29.562083,-95.277539
133908,29.726289,-95.548873
81156,29.690724,-95.218556
190261,29.974037,-95.523443
72594,29.727551,-95.358106
66405,29.789968,-95.05578
191699,29.90988,-95.567521
188045,29.999934000000003,-95.468864
24686,29.488641,-95.064837
65560,29.904278,-95.025892
117327,29.659221,-95.477027
25687,29.543473,-95.018398
91381,29.588934,-95.186216
223224,30.109237,-96.036253
50963,29.773964000000007,-95.234882
88780,29.68546,-95.281378
196854,30.002985,-95.471244
221834,30.398803000000004,-95.66634
189558,29.989655,-95.484677
141062,29.675226,-95.550415
33516,29.755631,-95.367293
165266,29.833299,-95.529684
150136,29.687876,-95.558218
76132,29.691234,-95.342125
21165,29.538043,-95.742831
165556,29.848713,-95.515054
