GEOID,COUNTY
48015760100,Austin
48015760200,Austin
48015760300,Austin
48015760400,Austin
48015760500,Austin
48039660100,Brazoria
48039660200,Brazoria
48039660300,Brazoria
48039660400,Brazoria
48039660500,Brazoria
48039660600,Brazoria
48039660700,Brazoria
48039660800,Brazoria
48039660900,Brazoria
48039661000,Brazoria
48039661100,Brazoria
48039661200,Brazoria
48039661300,Brazoria
48039661400,Brazoria
48039661500,Brazoria
48039661600,Brazoria
48039661700,Brazoria
48039661800,Brazoria
48039661900,Brazoria
48039662000,Brazoria
48039662100,Brazoria
48039662200,Brazoria
48039662300,Brazoria
48039662400,Brazoria
48039662500,Brazoria
48039662600,Brazoria
48039662700,Brazoria
48039662800,Brazoria
48039662900,Brazoria
48039663000,Brazoria
48039663100,Brazoria
48039663200,Brazoria
48039663300,Brazoria
48039663400,Brazoria
48039663500,Brazoria
48039663600,Brazoria
48039663700,Brazoria
48039663800,Brazoria
48039663900,Brazoria
48039664000,Brazoria
48039664100,Brazoria
48039664200,Brazoria
48039664300,Brazoria
48039664400,Brazoria
48039664500,Brazoria
48071710100,Chambers
48071710200,Chambers
48071710300,Chambers
48071710400,Chambers
48071710500,Chambers
48071710600,Chambers
48157670100,Fort Bend
48157670200,Fort Bend
48157670300,Fort Bend
48157670400,Fort Bend
48157670500,Fort Bend
48157670600,Fort Bend
48157670700,Fort Bend
48157670800,Fort Bend
48157670900,Fort Bend
48157671000,Fort Bend
48157671100,Fort Bend
48157671200,Fort Bend
48157671300,Fort Bend
48157671400,Fort Bend
48157671500,Fort Bend
48157671600,Fort Bend
48157671700,Fort Bend
48157671800,Fort Bend
48157671900,Fort Bend
48157672000,Fort Bend
48157672100,Fort Bend
48157672200,Fort Bend
48157672300,Fort Bend
48157672400,Fort Bend
48157672500,Fort Bend
48157672600,Fort Bend
48157672700,Fort Bend
48157672800,Fort Bend
48157672900,Fort Bend
48157673000,Fort Bend
48157673100,Fort Bend
48157673200,Fort Bend
48157673300,Fort Bend
48157673400,Fort Bend
48157673500,Fort Bend
48157673600,Fort Bend
48157673700,Fort Bend
48157673800,Fort Bend
48157673900,Fort Bend
48157674000,Fort Bend
48157674100,Fort Bend
48157674200,Fort Bend
48157674300,Fort Bend
48157674400,Fort Bend
48157674500,Fort Bend
48157674600,Fort Bend
48157674700,Fort Bend
48157674800,Fort Bend
48157674900,Fort Bend
48157675000,Fort Bend
48157675100,Fort Bend
48157675200,Fort Bend
48157675300,Fort Bend
48157675400,Fort Bend
48157675500,Fort Bend
48157675600,Fort Bend
48157675700,Fort Bend
48157675800,Fort Bend
48167720100,Galveston
48167720200,Galveston
48167720300,Galveston
48167720400,Galveston
48167720500,Galveston
48167720600,Galveston
48167720700,Galveston
48167720800,Galveston
48167720900,Galveston
48167721000,Galveston
48167721100,Galveston
48167721200,Galveston
48167721300,Galveston
48167721400,Galveston
48167721500,Galveston
48167721600,Galveston
48167721700,Galveston
48167721800,Galveston
48167721900,Galveston
48167722000,Galveston
48167722100,Galveston
48167722200,Galveston
48167722300,Galveston
48167722400,Galveston
48167722500,Galveston
48167722600,Galveston
48167722700,Galveston
48167722800,Galveston
48167722900,Galveston
48167723000,Galveston
48167723100,Galveston
48167723200,Galveston
48167723300,Galveston
48167723400,Galveston
48167723500,Galveston
48167723600,Galveston
48167723700,Galveston
48167723800,Galveston
48167723900,Galveston
48167724000,Galveston
48167724100,Galveston
48167724200,Galveston
48167724300,Galveston
48167724400,Galveston
48167724500,Galveston
48167724600,Galveston
48167724700,Galveston
48167724800,Galveston
48167724900,Galveston
48167725000,Galveston
48167725100,Galveston
48167725200,Galveston
48167725300,Galveston
48167725400,Galveston
48167725500,Galveston
48167725600,Galveston
48167725700,Galveston
48167725800,Galveston
48167725900,Galveston
48167726000,Galveston
48167726100,Galveston
48201100000,Harris
48201210100,Harris
48201210200,Harris
48201210300,Harris
48201210400,Harris
48201210500,Harris
48201210600,Harris
48201210700,Harris
48201210800,Harris
48201210900,Harris
48201211000,Harris
48201211100,Harris
48201211200,Harris
48201211300,Harris
48201211400,Harris
48201211500,Harris
48201211600,Harris
48201211700,Harris
48201211800,Harris
48201211900,Harris
48201212000,Harris
48201212100,Harris
48201212200,Harris
48201220100,Harris
48201220200,Harris
48201220300,Harris
48201220400,Harris
48201220500,Harris
48201220600,Harris
48201220700,Harris
48201220800,Harris
48201220900,Harris
48201221000,Harris
48201221100,Harris
48201221200,Harris
48201221300,Harris
48201221400,Harris
48201221500,Harris
48201221600,Harris
48201221700,Harris
48201221800,Harris
48201221900,Harris
48201222000,Harris
48201222100,Harris
48201222200,Harris
48201222300,Harris
48201222400,Harris
48201222500,Harris
48201222600,Harris
48201222700,Harris
48201222800,Harris
48201222900,Harris
48201223000,Harris
48201223100,Harris
48201230100,Harris
48201230200,Harris
48201230300,Harris
48201230400,Harris
48201230500,Harris
48201230600,Harris
48201230700,Harris
48201230800,Harris
48201230900,Harris
48201231000,Harris
48201231100,Harris
48201231200,Harris
48201231300,Harris
48201231400,Harris
48201231500,Harris
48201231600,Harris
48201231700,Harris
48201231800,Harris
48201231900,Harris
48201232000,Harris
48201232100,Harris
48201232200,Harris
48201232300,Harris
48201232400,Harris
48201232500,Harris
48201232600,Harris
48201232700,Harris
48201232800,Harris
48201232900,Harris
48201233000,Harris
48201233100,Harris
48201233200,Harris
48201233300,Harris
48201233400,Harris
48201233500,Harris
48201233600,Harris
48201233700,Harris
48201240100,Harris
48201240200,Harris
48201240300,Harris
48201240400,Harris
48201240500,Harris
48201240600,Harris
48201240700,Harris
48201240800,Harris
48201240900,Harris
48201241000,Harris
48201241100,Harris
48201241200,Harris
48201241300,Harris
48201241400,Harris
48201250100,Harris
48201250200,Harris
48201250300,Harris
48201250400,Harris
48201250500,Harris
48201250600,Harris
48201250700,Harris
48201250800,Harris
48201250900,Harris
48201251000,Harris
48201251100,Harris
48201251200,Harris
48201251300,Harris
48201251400,Harris
48201251500,Harris
48201251600,Harris
48201251700,Harris
48201251800,Harris
48201251900,Harris
48201252000,Harris
48201252100,Harris
